 domain, category, score, first_seen, last_seen, ports (|)
 pvgmbimrbmorgexuombuwhqgbqhymv.info,29,55,2014-05-02,2014-05-06,80
 the-red-notebook.sd.en.softonic.com,5,97,2012-11-09,2014-07-07,80
 bluetunes-desktop.sd.en.softonic.com,5,77,2014-07-04,2014-07-04,80
 click-musicalkeys.sd.en.softonic.com,5,45,2014-04-23,2014-07-07,80
 ikea-home-planner.sd.nl.softonic.com,5,30,2013-06-02,2014-04-15,80
 latency-optimizer.sd.en.softonic.com,5,40,2012-07-22,2014-03-10,80
 microsoft-project.ud.en.softonic.com,5,77,2014-04-02,2014-07-07,80
 smplayer-portable.sd.softonic.com.br,5,22,2013-12-06,2014-06-20,80
 wise-care-365-pro.sd.en.softonic.com,5,117,2014-07-15,2014-07-15,80
 freestudio.dvdvideosoft.netdna-cdn.com,35,121,2012-11-08,2014-06-06,80
 tintoreria-lavanderias.sd.softonic.com,5,40,2014-05-05,2014-05-07,80
 cdn-ppdownload.outbrowse.netdna-cdn.com,35,123,2013-04-24,2014-06-18,80
 microsoft-excel-2010.sd.nl.softonic.com,5,117,2014-07-15,2014-07-15,80
 activex-download-control.sd.softonic.com,5,107,2012-09-19,2014-07-13,80
 age-of-empires-online.ud.en.softonic.com,5,62,2013-08-09,2014-07-04,80
 quick-heal-anti-virus.sd.en.softonic.com,5,107,2012-11-11,2014-07-13,80
 windows-media-player-9-0.sd.softonic.com,5,87,2013-09-28,2014-07-14,80
 jcl2agq2j7si5n9if8kxqlp.apteka-erekcja.pl,35,51,2014-06-09,2014-06-09,80
 trackmania-nations-forever.sd.softonic.it,5,82,2014-03-11,2014-07-08,80
 super-fdisk-bootable-cd.sd.en.softonic.com,5,30,2014-05-07,2014-05-07,80
 1m2919b0fa98emmgxs2a1cvoku663v.ipcheker.com,1,97,2012-10-13,2014-07-11,80
 argente-registry-cleaner.sd.softonic.com.br,5,117,2014-04-20,2014-07-14,80
 easy-drive-data-recovery.sd.nl.softonic.com,5,32,2014-06-27,2014-06-27,80
 bearshareultraaccelerator.sd.en.softonic.com,5,30,2014-07-13,2014-07-13,80
 windows-xp-service-pack-3-iso.sd.softonic.fr,5,27,2014-06-17,2014-06-27,80
 lego-the-lord-of-the-rings.sd.en.softonic.com,5,107,2014-07-10,2014-07-10,80
 assassins-creed-2-wallpaper.sd.softonic.com.br,5,45,2014-05-10,2014-05-10,80
 microsoft-office-2010-iconpack.sd.softonic.com,5,117,2014-05-11,2014-07-15,80
 mozilla-firefox-portable-edition.sd.softonic.jp,5,87,2013-03-31,2014-07-09,80
 big-city-adventures-san-francisco.sd.softonic.com,5,102,2014-07-05,2014-07-12,80
 microsoft-powertoys-image-resizer.sd.en.softonic.com,5,45,2014-06-15,2014-06-18,80
 advanced-systemcare-with-antivirus.sd.en.softonic.com,5,35,2013-12-15,2014-07-14,80
 nvidia-verde-for-notebooks-xp-32-bits.sd.softonic.com,5,52,2012-08-14,2014-06-28,80
 irc.by,9,116,2012-07-18,2014-05-29,6666 6667
 mny.cc,1,97,2014-05-06,2014-06-05,443
 800h.com,1,27,2014-04-09,2014-05-22,80
 dnfpk.tk,27,33,2012-09-22,2014-04-14,80
 fxzqe.net,29,127,2013-08-15,2014-05-21,80
 mobyw.com,37,122,2013-12-13,2014-06-29,80
 pdmmc.com,1,122,2013-11-12,2014-06-05,443
 ygjfu.com,29,127,2013-08-14,2014-05-22,80
 hamumu.com,35,77,2013-07-30,2014-05-17,80
 pdfjpg.com,35,111,2013-10-09,2014-06-04,80
 xijiaf.com,29,50,2014-04-27,2014-04-27,
 adt.bzug.ru,29,125,2013-01-19,2014-07-11,
 cf.ketor.ru,29,123,2013-01-22,2014-07-09,
 gu.ip51.org,1,62,2014-04-18,2014-06-12,80
 overcad.com,35,109,2013-05-25,2013-06-23,80
 rawrl11.com,9,124,2013-06-04,2014-07-04,1875
 seetong.com,35,63,2014-06-10,2014-06-10,80
 ant.trenz.pl,29,127,2013-02-09,2014-07-17,
 appssota.net,37,122,2014-03-03,2014-07-15,80
 c010x1.co.cc,29,121,2013-05-11,2014-05-30,
 c6493a.co.cc,27,63,2014-05-14,2014-05-14,80
 citokec.info,1,112,2012-12-07,2014-06-25,80
 codysafe.com,35,64,2013-05-18,2013-05-18,80
 devi56.co.cc,29,127,2013-05-26,2014-05-16,
 ismes.com.ua,5,117,2014-05-10,2014-05-10,80
 iuhqhbmq.net,29,115,2013-10-26,2014-06-18,
 musetips.com,35,125,2013-10-30,2014-06-04,80
 zahlung.name,1,122,2010-11-03,2014-07-15,443
 31337.tbv6.pl,9,35,2014-03-30,2014-04-16,80
 avcommand.net,24,37,2013-08-08,2014-05-15,80
 bhxdhbx.nl.ai,27,56,2011-11-18,2014-05-07,80
 centrum.co.id,1,49,2014-01-16,2014-02-22,443
 cheatslike.ru,35,55,2014-03-30,2014-06-11,80
 eu.no-ip.info,1,57,2014-05-01,2014-05-01,81
 gief1.25u.com,25,120,2013-03-31,2014-04-15,80
 irc.efnet.org,9,73,2012-01-09,2014-05-24,6667
 netcrawl.info,5,40,2014-07-03,2014-07-08,80
 ps1.letou8.cn,35,59,2013-07-11,2014-06-13,83
 shaimenal.com,1,97,2012-07-15,2014-05-07,8700
 www.231mxd.co,35,67,2012-11-16,2014-06-17,2013 2222 2233 1122 2014
 x.findnow.biz,29,109,2013-08-02,2014-07-11,
 zozerymiz.com,24,66,2012-08-20,2014-05-17,80
 blogdemand.com,24,77,2013-12-17,2014-05-28,80
 darwor.xorg.pl,35,63,2014-06-12,2014-06-14,80
 destorage.info,5,127,2012-06-19,2014-07-16,80
 down.52znl.com,35,69,2014-06-18,2014-06-18,80
 eclipsem.co.cc,27,93,2012-09-28,2014-06-13,80
 heke.wjran.com,1,57,2014-05-01,2014-05-01,80
 pozitronix.net,35,119,2014-03-31,2014-06-15,80
 robot-soft.com,35,91,2012-10-02,2014-06-15,80
 traffsale1.biz,5,97,2012-08-21,2014-07-11,80
 truedonell.com,16,28,2014-07-06,2014-07-06,80
 tuffindoor.com,28,47,2014-01-25,2014-02-21,443
 vihuhosyde.com,24,65,2013-09-07,2014-06-12,80
 www.ufixer.com,24,78,2014-04-09,2014-05-29,80
 cdn01.woktho.ru,1,112,2014-06-28,2014-07-14,80
 faevriqcblu.com,1,77,2014-04-27,2014-07-07,443
 ff.tabagame.com,29,72,2014-06-19,2014-06-19,
 irc.solarnet.ru,9,104,2013-06-10,2013-08-11,6667
 logikcafe.cu.cc,27,68,2014-05-19,2014-05-19,80
 lostbox.mine.nu,1,122,2011-10-23,2013-04-21,82 888 587 81 999
 melodytunes.net,5,117,2014-07-10,2014-07-11,80
 poluchilson.com,5,127,2014-05-05,2014-05-05,80
 smallfood.vv.cc,27,80,2014-02-17,2014-05-31,80
 softforfree.com,5,117,2012-09-15,2014-07-14,80
 winzip-free.com,35,90,2013-04-05,2013-08-08,80
 142.nsvhn987.com,29,116,2013-03-10,2014-07-02,
 151.nsvhn987.com,29,127,2013-03-06,2014-06-02,
 182.nsvhn987.com,29,125,2013-03-01,2014-07-10,
 aminakoyim.co.cc,29,127,2013-11-29,2014-03-28,6667
 coreshipping.com,1,97,2014-04-29,2014-07-14,80
 dis.ohmail.co.cc,29,127,2013-10-19,2014-05-07,
 dw5.uptodown.com,35,125,2012-10-27,2014-06-11,80
 espn123.3322.org,1,117,2014-04-24,2014-04-24,8000
 hcvuririvnuq.com,1,42,2012-09-18,2014-05-25,443
 hiphopdrop.co.cc,29,50,2014-05-10,2014-05-10,
 irc.antichat.net,9,72,2012-01-24,2014-05-23,6667
 lq1717.f3322.org,1,52,2013-03-07,2014-07-02,2013 7064 8000
 milfsdeasing.com,1,97,2013-08-14,2014-07-11,80
 monitorbox3.info,5,85,2013-03-22,2014-07-12,80
 stsunsetwest.com,5,122,2013-05-01,2014-07-16,80
 torrent-faili.ru,1,75,2013-11-06,2014-03-01,80
 www.softisto.com,5,112,2013-11-08,2014-07-09,80
 ajwan105.3322.org,1,62,2013-03-22,2014-07-04,13 8000
 baixatudo.xoom.it,35,81,2014-04-28,2014-04-28,80
 checkwebspeed.net,1,102,2010-03-21,2014-06-09,80
 hln1994.f3322.org,1,57,2014-06-10,2014-06-13,3243 8009
 jbeqyjlvjqbmq.com,1,67,2012-09-12,2014-06-08,443
 pricesphone.gv.vg,7,52,2014-05-04,2014-05-04,80
 r2.storagepl1.com,5,127,2014-01-09,2014-07-16,80
 regdomain.dns1.us,1,82,2014-03-26,2014-03-26,443
 vivatsaultppc.com,1,107,2014-06-28,2014-07-08,80
 www.gamehouse.com,5,127,2013-08-04,2014-07-17,80
 www.gpsoft.com.au,35,55,2012-11-15,2014-06-11,80
 a1168.g.akamai.net,35,121,2012-05-27,2014-02-17,80
 a1284.g.akamai.net,35,125,2013-02-13,2014-06-08,80
 a1953.d.akamai.net,35,61,2011-01-27,2014-06-14,80
 contraviruspro.com,24,73,2010-01-27,2014-05-24,80
 cu.clickspring.net,5,27,2012-12-08,2014-06-19,80
 dl2.blacksunn.info,35,51,2014-06-06,2014-06-09,80
 error.hostinger.eu,1,77,2012-10-07,2014-05-25,80
 mncafnfdkxrg.co.uk,29,127,2014-05-04,2014-05-04,80
 nassimca.zapto.org,1,82,2013-05-31,2014-07-08,1177
 pc3.114central.com,35,123,2012-08-19,2014-07-14,80
 test121.no-ip.info,1,102,2014-07-12,2014-07-12,8311
 www.barrymward.com,35,105,2013-11-22,2014-06-11,80
 www.dnfhailong.com,35,121,2014-05-31,2014-06-11,80
 zaertuoderkaxk.com,1,122,2011-10-26,2014-07-14,443
 08ae8.api.socdn.com,5,40,2014-06-23,2014-06-23,80
 57af1.api.socdn.com,5,117,2014-06-21,2014-07-14,80
 cc7f3.api.socdn.com,5,112,2014-06-26,2014-07-05,80
 dl27.blacksunn.info,35,61,2014-06-08,2014-06-13,80
 f1625.api.socdn.com,5,117,2014-06-19,2014-07-14,80
 fe8ef.api.socdn.com,5,82,2014-06-20,2014-06-25,80
 harddriveeraser.org,35,57,2014-02-02,2014-06-12,80
 homepage2.nifty.com,35,107,2013-11-27,2014-05-09,80
 inbxvqkegoyapgv.com,29,85,2013-11-20,2014-06-05,80
 suigintou.myjino.ru,1,85,2013-09-26,2014-07-14,21 80
 tepui.cynagames.com,35,108,2012-09-06,2013-12-27,80
 wendaogyx.f3322.org,1,57,2014-05-01,2014-05-01,10565
 www.vaccineon.co.kr,24,75,2014-04-11,2014-05-26,80
 0ac0bd.api.socdn.com,5,97,2014-07-08,2014-07-08,80
 837468266.qseach.com,1,120,2014-07-08,2014-07-08,80
 923527836.qseach.com,1,120,2012-06-25,2012-08-07,80
 a12e1c.api.socdn.com,5,122,2014-07-01,2014-07-14,80
 alihussain.no-ip.biz,1,52,2014-05-04,2014-07-02,9988
 d274742525.f3322.org,1,67,2014-05-04,2014-05-04,7238
 fdwelklwe3093443.com,29,126,2012-06-03,2014-07-15,
 forces.loadingrus.ru,1,122,2014-07-05,2014-07-16,80
 gratapesge1970.co.vu,35,108,2014-07-03,2014-07-04,80
 l.safemonitorapp.com,5,42,2013-09-30,2014-06-21,80
